,cidade,ano,CO,FMC,MP10,MP2.5,NO,NO2,O3,PTS,SO2
0,AMERICANA,2015,,,28.969444444444445,,,,22.457971014492752,,
1,AMERICANA,2016,,,25.913888888888888,,,,39.695945945945944,,
2,AMERICANA,2017,,,26.32777777777778,,,,53.165217391304346,,
3,AMERICANA,2018,,,27.75766016713092,,,,57.604651162790695,,
4,AMERICANA,2019,,,17.991304347826087,,,,53.894259818731115,,
5,AMERICANA,2020,,,16.100334448160535,,,,63.4808362369338,,
6,AMERICANA,2021,,,21.43888888888889,,,,63.59177215189873,,
7,AMERICANA,2022,,,16.441340782122904,,,,46.96727272727273,,
8,ARACATUBA,2015,,,16.963483146067414,,,,46.734693877551024,,
9,ARACATUBA,2016,,,16.905555555555555,,,,40.60579710144928,,
10,ARACATUBA,2017,,,17.894444444444446,,,,47.414492753623186,,
11,ARACATUBA,2018,,,18.325,,,,45.994202898550725,,
12,ARACATUBA,2019,,,13.734463276836157,,,,44.142028985507245,,
13,ARACATUBA,2020,,,11.430555555555555,,,,47.69565217391305,,
14,ARACATUBA,2021,,,17.016713091922007,,,,47.62898550724638,,
15,ARACATUBA,2022,,,12.211699164345404,,,,43.27777777777778,,
16,ARARAQUARA,2015,,,18.794444444444444,,,11.249266862170089,53.093023255813954,,
17,ARARAQUARA,2016,,,15.76923076923077,,,9.134502923976608,41.60349854227405,,
18,ARARAQUARA,2017,,,17.955307262569832,,0.562874251497006,11.98502994011976,61.93313953488372,,
19,ARARAQUARA,2018,,,20.7,,,12.846376811594203,53.48695652173913,,
20,ARARAQUARA,2019,,,13.825,,,11.195906432748538,52.354651162790695,,
21,ARARAQUARA,2020,,,13.915697674418604,,,9.231372549019607,62.78055555555556,,
22,ARARAQUARA,2021,,,18.044444444444444,,,9.377777777777778,54.50833333333333,,
23,ARARAQUARA,2022,,,14.894444444444444,,,9.284122562674094,47.86666666666667,,
24,BAURU,2015,,,15.472222222222221,,,10.953488372093023,47.56811594202899,,
25,BAURU,2016,,,18.116666666666667,,,11.756521739130434,39.31437125748503,,
26,BAURU,2017,,,21.74137931034483,,,,52.73546511627907,,
27,BAURU,2018,,,18.255555555555556,,,11.215116279069768,43.144444444444446,,
28,BAURU,2019,,,13.941666666666666,,,8.701449275362318,46.5,,
29,BAURU,2020,,,12.508333333333333,,,9.71137026239067,48.852777777777774,,
30,BAURU,2021,,,15.232758620689655,,,9.782477341389727,40.19770773638969,,
31,BAURU,2022,,,14.16388888888889,,,9.053968253968254,34.15942028985507,,
32,CAMPINAS,2015,921.0996417492753,,26.308333333333334,,,9.944927536231884,57.92463768115942,,
33,CAMPINAS,2016,906.4335739783133,,24.230994152046783,,,13.630813953488373,52.19767441860465,,
34,CAMPINAS,2017,743.8955489153624,,21.05142857142857,,0.8173913043478261,9.68695652173913,63.93623188405797,,
35,CAMPINAS,2018,,,17.863888888888887,,,12.680232558139535,59.81739130434783,,
36,CAMPINAS,2019,795.8056943357611,,19.407738095238095,,,10.158357771260997,48.30701754385965,,
37,CAMPINAS,2020,853.1912566848486,,16.996835443037973,,,7.754491017964072,51.4,,
38,CAMPINAS,2021,,,19.79608938547486,,,8.845659163987138,53.08985507246377,,
39,CAMPINAS,2022,670.4824247119202,,21.280802292263612,,,,,,
40,CARAPICUIBA,2015,619.12940192,,18.617391304347827,,,30.808139534883722,36.66086956521739,,
41,CARAPICUIBA,2016,352.59998065130435,,20.266666666666666,,,26.13953488372093,35.153623188405795,,
42,CARAPICUIBA,2017,490.0235628527536,,22.405555555555555,,7.098837209302325,26.906976744186046,42.82898550724638,,
43,CARAPICUIBA,2018,578.0210750531344,,24.825,,,31.843478260869563,47.176811594202896,,
44,CARAPICUIBA,2019,586.220070365708,,22.21005917159763,,,,38.11304347826087,,
45,CARAPICUIBA,2020,479.42210419006926,,14.625698324022347,,,,36.798833819241985,,
46,CARAPICUIBA,2021,,,19.06111111111111,,,,30.744927536231884,,
47,CARAPICUIBA,2022,584.3214550853749,,20.836111111111112,,,,30.755555555555556,,
48,CATANDUVA,2015,,,19.335260115606935,,,18.517241379310345,47.667682926829265,,
49,CATANDUVA,2016,,,22.903225806451612,,,7.169096209912537,36.08454810495627,,
50,CATANDUVA,2017,,,21.166666666666668,,1.3072463768115943,11.153623188405797,51.78840579710145,,
51,CATANDUVA,2018,,,20.23615160349854,,,10.02127659574468,48.21646341463415,,
52,CATANDUVA,2019,,,16.671309192200557,,,8.438953488372093,46.02325581395349,,
53,CATANDUVA,2020,,,15.125,,,7.478260869565218,49.5233918128655,,
54,CATANDUVA,2021,,,18.71954674220963,,,,41.79421221864952,,
55,CATANDUVA,2022,,,17.53048780487805,,,10.072507552870091,44.51359516616314,,
56,CORDEIROPOLIS,2015,,,26.0,,,,,,
57,CORDEIROPOLIS,2016,,,29.666666666666668,,,,,,
58,CORDEIROPOLIS,2017,,,25.333333333333332,,,,,,
59,CORDEIROPOLIS,2018,,,22.0,,,,,,
60,CORDEIROPOLIS,2019,,,23.666666666666668,,,,,,
61,CORDEIROPOLIS,2020,,,18.0,,,,,,
62,CORDEIROPOLIS,2022,,,13.333333333333334,,,,,,
63,CUBATAO,2015,,,82.10335195530726,,,55.54037267080745,29.472463768115944,208.0,12.194202898550724
64,CUBATAO,2016,,,60.075,,,31.758823529411764,30.11304347826087,232.5,10.58840579710145
65,CUBATAO,2017,,,47.44092219020173,,75.36051502145922,35.44755244755245,25.48328267477204,104.66666666666667,8.07112970711297
66,CUBATAO,2018,,,89.17867435158502,,,49.27963525835866,32.510971786833856,708.0,10.69855072463768
