cidade,ano,0a1,1a2,2a3,3a4,4a5,5a6,6a7,7a8,8a9,9a10,acima10
CARAPICUIBA,2022,2702.0,3242.0,3109.0,4761.0,4979.0,4444.0,4049.0,5622.0,7351.0,8744.0,164486.0
CATANDUVA,2015,2329.0,3760.0,4936.0,4847.0,5404.0,4972.0,4482.0,5713.0,4717.0,3967.0,54353.0
CATANDUVA,2016,1954.0,2879.0,3831.0,4899.0,4854.0,5385.0,4937.0,4473.0,5691.0,4690.0,57956.0
CATANDUVA,2017,2352.0,2430.0,2931.0,3857.0,4871.0,4846.0,5293.0,4827.0,4424.0,5669.0,62045.0
CATANDUVA,2018,2912.0,2861.0,2508.0,2964.0,3885.0,4768.0,4725.0,5249.0,4744.0,4415.0,67104.0
CATANDUVA,2019,2863.0,3473.0,2917.0,2560.0,2994.0,3868.0,4785.0,4697.0,5196.0,4709.0,71056.0
CATANDUVA,2020,2299.0,3373.0,3420.0,2895.0,2504.0,2925.0,3857.0,4757.0,4659.0,5126.0,75131.0
CATANDUVA,2021,2560.0,2637.0,3334.0,3322.0,2848.0,2436.0,2945.0,3832.0,4691.0,4629.0,79111.0
CATANDUVA,2022,2176.0,2690.0,2618.0,3304.0,3365.0,2850.0,2402.0,2938.0,3797.0,4687.0,83143.0
CORDEIROPOLIS,2015,316.0,534.0,645.0,618.0,823.0,870.0,656.0,763.0,714.0,635.0,8204.0
CORDEIROPOLIS,2016,247.0,411.0,559.0,661.0,631.0,843.0,830.0,679.0,785.0,745.0,8821.0
CORDEIROPOLIS,2017,337.0,314.0,413.0,557.0,706.0,633.0,868.0,813.0,720.0,802.0,9576.0
CORDEIROPOLIS,2018,417.0,390.0,304.0,424.0,588.0,773.0,675.0,897.0,833.0,741.0,10394.0
CORDEIROPOLIS,2019,462.0,568.0,417.0,327.0,449.0,608.0,828.0,690.0,960.0,881.0,11287.0
CORDEIROPOLIS,2020,320.0,565.0,568.0,427.0,337.0,476.0,629.0,857.0,735.0,948.0,12232.0
CORDEIROPOLIS,2021,517.0,401.0,583.0,589.0,431.0,348.0,498.0,677.0,875.0,751.0,13221.0
CORDEIROPOLIS,2022,491.0,569.0,431.0,600.0,609.0,427.0,362.0,489.0,694.0,878.0,14094.0
CUBATAO,2015,1191.0,2248.0,3055.0,2560.0,3572.0,3825.0,2705.0,3654.0,3221.0,2417.0,24714.0
CUBATAO,2016,826.0,1491.0,2295.0,2967.0,2581.0,3554.0,3719.0,2698.0,3603.0,3216.0,27174.0
CUBATAO,2017,892.0,1056.0,1564.0,2228.0,2842.0,2581.0,3499.0,3621.0,2653.0,3574.0,30280.0
CUBATAO,2018,1266.0,1159.0,1083.0,1546.0,2201.0,2819.0,2562.0,3456.0,3521.0,2634.0,33738.0
CUBATAO,2019,1249.0,1575.0,1279.0,1136.0,1575.0,2228.0,2820.0,2580.0,3357.0,3533.0,36213.0
CUBATAO,2020,1069.0,1572.0,1726.0,1373.0,1171.0,1611.0,2303.0,2822.0,2674.0,3457.0,39947.0
CUBATAO,2021,1305.0,1180.0,1629.0,1767.0,1418.0,1235.0,1655.0,2285.0,2759.0,2607.0,42986.0
CUBATAO,2022,1162.0,1380.0,1217.0,1681.0,1754.0,1439.0,1231.0,1614.0,2246.0,2760.0,44996.0
DIADEMA,2015,3735.0,6021.0,7322.0,7793.0,10619.0,9948.0,8723.0,12344.0,11226.0,8549.0,105845.0
DIADEMA,2016,2548.0,4752.0,6272.0,7582.0,8112.0,10986.0,10178.0,8973.0,12600.0,11305.0,113890.0
DIADEMA,2017,3428.0,3211.0,5030.0,6637.0,8062.0,8574.0,11407.0,10543.0,9212.0,12743.0,124284.0
DIADEMA,2018,4164.0,4241.0,3515.0,5300.0,7014.0,8414.0,8927.0,11720.0,10730.0,9341.0,136457.0
DIADEMA,2019,4191.0,5341.0,4695.0,3734.0,5467.0,7438.0,8793.0,9224.0,11924.0,10882.0,144668.0
DIADEMA,2020,3047.0,5252.0,5735.0,4923.0,3859.0,5645.0,7544.0,8866.0,9242.0,11865.0,154181.0
DIADEMA,2021,4527.0,3681.0,5511.0,5956.0,5039.0,4003.0,5826.0,7691.0,8876.0,9411.0,164566.0
DIADEMA,2022,4304.0,4968.0,3913.0,5812.0,6171.0,5214.0,4171.0,5973.0,7787.0,9028.0,173745.0
FRANCA,2015,4828.0,7959.0,9606.0,10957.0,12086.0,11175.0,9948.0,12708.0,11592.0,9961.0,136669.0
FRANCA,2016,3549.0,6003.0,8428.0,10057.0,11431.0,12365.0,11466.0,10178.0,12932.0,11780.0,146094.0
FRANCA,2017,4363.0,4484.0,6392.0,8971.0,10504.0,11824.0,12680.0,11724.0,10468.0,13262.0,157525.0
FRANCA,2018,5410.0,5366.0,4734.0,6649.0,9351.0,10882.0,12242.0,12953.0,12047.0,10801.0,170286.0
FRANCA,2019,5688.0,6487.0,5625.0,4966.0,6935.0,9677.0,11287.0,12490.0,13256.0,12283.0,180553.0
FRANCA,2020,3745.0,6765.0,6700.0,5754.0,5190.0,7057.0,9764.0,11442.0,12565.0,13331.0,191416.0
FRANCA,2021,4484.0,4702.0,6996.0,6796.0,5917.0,5365.0,7160.0,9916.0,11714.0,12813.0,203865.0
FRANCA,2022,4413.0,5075.0,4887.0,7291.0,7055.0,6149.0,5476.0,7242.0,10059.0,11926.0,216682.0
GUARATINGUETA,2015,1891.0,3157.0,3344.0,3611.0,3770.0,3539.0,3155.0,3685.0,3158.0,2310.0,33455.0
GUARATINGUETA,2016,1327.0,2450.0,3307.0,3471.0,3632.0,3833.0,3468.0,3160.0,3687.0,3188.0,35814.0
GUARATINGUETA,2017,1763.0,1926.0,2652.0,3412.0,3508.0,3612.0,3864.0,3523.0,3161.0,3658.0,38912.0
GUARATINGUETA,2018,2016.0,2268.0,2075.0,2692.0,3383.0,3510.0,3588.0,3816.0,3550.0,3170.0,42470.0
GUARATINGUETA,2019,2048.0,2596.0,2392.0,2091.0,2677.0,3387.0,3534.0,3574.0,3830.0,3581.0,45670.0
GUARATINGUETA,2020,1398.0,2550.0,2728.0,2376.0,2063.0,2659.0,3388.0,3518.0,3577.0,3814.0,49227.0
GUARATINGUETA,2021,1481.0,1643.0,2632.0,2672.0,2336.0,1976.0,2597.0,3264.0,3451.0,3508.0,52595.0
GUARATINGUETA,2022,1326.0,1613.0,1726.0,2630.0,2626.0,2304.0,1941.0,2576.0,3269.0,3401.0,55899.0
GUARUJA,2015,4331.0,7237.0,7806.0,7725.0,8884.0,8666.0,7081.0,8708.0,8370.0,6158.0,51904.0
GUARUJA,2016,3326.0,5522.0,7365.0,7867.0,7813.0,8869.0,8607.0,6897.0,8558.0,8152.0,57852.0
GUARUJA,2017,3683.0,4267.0,5608.0,7389.0,7958.0,7824.0,8794.0,8524.0,6764.0,8397.0,65623.0
GUARUJA,2018,4094.0,4538.0,4323.0,5642.0,7322.0,7914.0,7761.0,8662.0,8354.0,6661.0,73561.0
GUARUJA,2019,5015.0,5416.0,4690.0,4362.0,5689.0,7341.0,7718.0,7710.0,8485.0,8150.0,79550.0
GUARUJA,2020,3758.0,6171.0,5700.0,4731.0,4444.0,5709.0,7302.0,7685.0,7626.0,8392.0,86917.0
