cidade,ano,gasolina,diesel,etanol
GUARATINGUETA,2022,39142200.0,60018000.0,14236942.0
GUARUJA,2015,43600500.0,58191619.0,31127807.0
GUARUJA,2016,47858792.0,53403968.0,29170104.0
GUARUJA,2017,43450011.0,48219916.0,23271066.0
GUARUJA,2018,37091653.0,42058218.0,30405589.0
GUARUJA,2019,36791384.0,48398000.0,42770835.0
GUARUJA,2020,36015950.0,44762650.0,51488686.0
GUARUJA,2021,42579663.0,47442900.0,35710685.0
GUARUJA,2022,45244153.0,46236809.0,29060563.0
GUARULHOS,2015,240487598.0,276085963.0,198555447.0
GUARULHOS,2016,251767725.0,267592094.0,208307236.0
GUARULHOS,2017,268102735.0,268999474.0,159102755.0
GUARULHOS,2018,217499248.0,257922900.0,223495636.0
GUARULHOS,2019,202355756.0,260853219.0,270346643.0
GUARULHOS,2020,189036503.0,240978278.0,247935116.0
GUARULHOS,2021,218035778.0,257893363.0,202175311.0
GUARULHOS,2022,244096959.0,281725823.0,188535883.0
JABOTICABAL,2015,12725000.0,24795000.0,28164000.0
JABOTICABAL,2016,12548000.0,28524000.0,29645000.0
JABOTICABAL,2017,13210703.0,35562494.0,27857728.0
JABOTICABAL,2018,11287486.0,39365765.0,30383022.0
JABOTICABAL,2019,10369059.0,35188200.0,29360100.0
JABOTICABAL,2020,10224500.0,37023500.0,24689148.0
JABOTICABAL,2021,12520500.0,36255031.0,21585000.0
JABOTICABAL,2022,11985600.0,39138300.0,21972700.0
JACAREI,2015,50898300.0,78372077.0,36225518.0
JACAREI,2016,54110100.0,70621600.0,28371800.0
JACAREI,2017,57238432.0,64761400.0,26566426.0
JACAREI,2018,47802763.0,60683056.0,36950931.0
JACAREI,2019,46663600.0,56623700.0,46546000.0
JACAREI,2020,42793400.0,58812905.0,36056605.0
JACAREI,2021,51357901.0,62928400.0,30960300.0
JACAREI,2022,58979200.0,75012700.0,28000800.0
JAU,2015,29230000.0,29171300.0,45033220.0
JAU,2016,29751500.0,26740000.0,40566000.0
JAU,2017,29798372.0,23352100.0,41785840.0
JAU,2018,24371717.0,24005190.0,45888585.0
JAU,2019,23428944.0,23556300.0,51047433.0
JAU,2020,21466260.0,22796640.0,43846733.0
JAU,2021,25959236.0,24212344.0,36220306.0
JAU,2022,31023985.0,24244396.0,37967788.0
JUNDIAI,2015,152051855.0,128458338.0,140514176.0
JUNDIAI,2016,165091222.0,123999774.0,119240000.0
JUNDIAI,2017,172783017.0,135427328.0,102579302.0
JUNDIAI,2018,136311469.0,138957094.0,141343247.0
JUNDIAI,2019,128758000.0,147881800.0,166860301.0
JUNDIAI,2020,113252377.0,147997518.0,135214973.0
JUNDIAI,2021,145562000.0,154926997.0,114051878.0
JUNDIAI,2022,168970601.0,151210992.0,103953656.0
LIMEIRA,2015,63631500.0,120960237.0,106700058.0
LIMEIRA,2016,68729520.0,112334800.0,89998396.0
LIMEIRA,2017,75755636.0,116356245.0,78075611.0
LIMEIRA,2018,57291919.0,125540550.0,100866604.0
LIMEIRA,2019,53997500.0,141709400.0,111002854.0
LIMEIRA,2020,48032600.0,139455384.0,98830326.0
LIMEIRA,2021,63761410.0,152242536.0,83722000.0
LIMEIRA,2022,83922446.0,153238614.0,78775913.0
MARILIA,2015,49556410.0,73830850.0,61166100.0
MARILIA,2016,50909500.0,65584844.0,62727550.0
MARILIA,2017,55389046.0,61415386.0,55452739.0
MARILIA,2018,42820743.0,61739100.0,65506809.0
MARILIA,2019,41066000.0,60377850.0,75590299.0
MARILIA,2020,37728500.0,63481700.0,72042268.0
MARILIA,2021,49900500.0,68663800.0,60401566.0
MARILIA,2022,57877500.0,68372800.0,60659402.0
MAUA,2015,62446000.0,33102216.0,39015790.0
MAUA,2016,66991798.0,34822356.0,36770000.0
MAUA,2017,69609566.0,34844116.0,34419855.0
MAUA,2018,60242986.0,35064850.0,48270436.0
MAUA,2019,59025943.0,36577969.0,63938056.0
MAUA,2020,53628450.0,33913223.0,55692565.0
MAUA,2021,68302801.0,38981190.0,45905482.0
MAUA,2022,74001736.0,37137000.0,43629221.0
MOGI DAS CRUZES,2015,90315072.0,63371275.0,86287576.0
MOGI DAS CRUZES,2016,102803000.0,63270764.0,75024446.0
MOGI DAS CRUZES,2017,102804503.0,58725301.0,76419267.0
MOGI DAS CRUZES,2018,85347188.0,61680301.0,96443088.0
MOGI DAS CRUZES,2019,79071188.0,63709600.0,114371585.0
MOGI DAS CRUZES,2020,72946153.0,56111900.0,89465481.0
MOGI DAS CRUZES,2021,92875425.0,57188900.0,76885618.0
MOGI DAS CRUZES,2022,111597700.0,55349500.0,66215700.0
OSASCO,2015,146587478.0,138451700.0,122457421.0
OSASCO,2016,152716983.0,124486751.0,102099438.0
OSASCO,2017,155374170.0,108508061.0,87439394.0
OSASCO,2018,121768189.0,101328776.0,126358166.0
OSASCO,2019,119421950.0,99992850.0,158977236.0
OSASCO,2020,103421967.0,85679939.0,139463969.0
OSASCO,2021,125027652.0,94541160.0,118319373.0
OSASCO,2022,146492322.0,105413866.0,108745909.0
PAULINIA,2015,25510603.0,435493399.0,33899141.0
PAULINIA,2016,28656600.0,321955178.0,34674000.0
PAULINIA,2017,35577623.0,342717983.0,23822276.0
PAULINIA,2018,26933187.0,329792507.0,35548152.0
PAULINIA,2019,24790000.0,299236409.0,39699061.0
PAULINIA,2020,22779000.0,291321676.0,36237800.0
PAULINIA,2021,30596000.0,269438840.0,33265681.0
PAULINIA,2022,33931109.0,257635252.0,31173373.0
PIRACICABA,2015,100417760.0,132733823.0,131344600.0
PIRACICABA,2016,107968900.0,127743865.0,171991696.0
PIRACICABA,2017,114232137.0,124165613.0,113364096.0
PIRACICABA,2018,90856337.0,122740342.0,149794583.0
PIRACICABA,2019,82862050.0,121904980.0,176656942.0
PIRACICABA,2020,69888342.0,111637594.0,162643361.0
PIRACICABA,2021,93210201.0,124388942.0,125381872.0
PIRACICABA,2022,115735200.0,130557246.0,152952528.0
PRESIDENTE PRUDENTE,2015,47625500.0,90031300.0,78070420.0
PRESIDENTE PRUDENTE,2016,48182500.0,91322900.0,72135000.0
PRESIDENTE PRUDENTE,2017,48103659.0,92186194.0,82656295.0
PRESIDENTE PRUDENTE,2018,41614092.0,95831461.0,83405901.0
PRESIDENTE PRUDENTE,2019,38632700.0,92126447.0,89986485.0
PRESIDENTE PRUDENTE,2020,36920500.0,82816474.0,99806383.0
PRESIDENTE PRUDENTE,2021,48654973.0,87773842.0,84641753.0
PRESIDENTE PRUDENTE,2022,52701500.0,86625225.0,86643567.0
RIBEIRAO PRETO,2015,158236791.0,218349154.0,200695956.0
RIBEIRAO PRETO,2016,157669020.0,212642005.0,214710771.0
RIBEIRAO PRETO,2017,151511250.0,209103579.0,232471564.0
RIBEIRAO PRETO,2018,120788933.0,214491458.0,265729837.0
RIBEIRAO PRETO,2019,117985142.0,226281309.0,308313598.0
RIBEIRAO PRETO,2020,106224198.0,220933451.0,261777529.0
RIBEIRAO PRETO,2021,145346185.0,233767425.0,218106990.0
RIBEIRAO PRETO,2022,162422145.0,238543846.0,232367156.0
RIO CLARO,2015,42515100.0,53500050.0,44606670.0
RIO CLARO,2016,45314500.0,55681100.0,38261900.0
RIO CLARO,2017,46650193.0,58148970.0,37023532.0
RIO CLARO,2018,38212682.0,56991739.0,46907811.0
RIO CLARO,2019,35977000.0,51937200.0,58629124.0
RIO CLARO,2020,33708961.0,48466000.0,58850226.0
RIO CLARO,2021,43955500.0,52206390.0,88061836.0
RIO CLARO,2022,52836908.0,59568156.0,116098248.0
SANTA GERTRUDES,2015,3971000.0,13622700.0,2322500.0
SANTA GERTRUDES,2016,4729500.0,12157700.0,2258500.0
SANTA GERTRUDES,2017,4806500.0,13402409.0,2252000.0
SANTA GERTRUDES,2018,4427922.0,15639946.0,3337723.0
SANTA GERTRUDES,2019,4308000.0,18007500.0,3809843.0
SANTA GERTRUDES,2020,3116000.0,17199500.0,3744968.0
SANTA GERTRUDES,2021,3892000.0,19507000.0,3098612.0
SANTA GERTRUDES,2022,3912000.0,16313000.0,2435624.0
SANTO ANDRE,2015,178861214.0,61091516.0,136410756.0
SANTO ANDRE,2016,183302130.0,58242265.0,111382396.0
SANTO ANDRE,2017,198973517.0,60228517.0,104089719.0
SANTO ANDRE,2018,163194318.0,58624547.0,146950103.0
SANTO ANDRE,2019,151336913.0,60499133.0,181263442.0
SANTO ANDRE,2020,129090922.0,48177050.0,143288130.0
SANTO ANDRE,2021,158942506.0,50120015.0,113797718.0
SANTO ANDRE,2022,178607072.0,54774914.0,104205271.0
SANTOS,2015,92453526.0,125501460.0,57307500.0
SANTOS,2016,96217876.0,106059302.0,41636199.0
SANTOS,2017,103131065.0,107088199.0,38391717.0
SANTOS,2018,81976503.0,107472736.0,58079934.0
SANTOS,2019,74671016.0,112759489.0,69453626.0
SANTOS,2020,66883657.0,106808000.0,59372054.0
SANTOS,2021,80019000.0,127023588.0,48552696.0
SANTOS,2022,88854800.0,146925397.0,45493235.0
SAO BERNARDO DO CAMPO,2015,201452133.0,156741894.0,143618972.0
SAO BERNARDO DO CAMPO,2016,210957190.0,137626274.0,112993738.0
SAO BERNARDO DO CAMPO,2017,210133757.0,136247914.0,99099849.0
SAO BERNARDO DO CAMPO,2018,170213712.0,144911919.0,140780226.0
SAO BERNARDO DO CAMPO,2019,157045413.0,160563353.0,172552103.0
SAO BERNARDO DO CAMPO,2020,131721576.0,137626885.0,138730479.0
SAO BERNARDO DO CAMPO,2021,162759183.0,150328359.0,115976491.0
SAO BERNARDO DO CAMPO,2022,184473823.0,174522420.0,111530011.0
SAO CAETANO DO SUL,2015,56756990.0,17707964.0,50004073.0
SAO CAETANO DO SUL,2016,61166330.0,15934000.0,40920407.0
SAO CAETANO DO SUL,2017,61350367.0,15256075.0,39218261.0
SAO CAETANO DO SUL,2018,51024792.0,15970926.0,43164915.0
SAO CAETANO DO SUL,2019,46336361.0,15777094.0,51981064.0
SAO CAETANO DO SUL,2020,37835044.0,13360210.0,40622701.0
SAO CAETANO DO SUL,2021,48308965.0,15692126.0,36439797.0
SAO CAETANO DO SUL,2022,50871270.0,15924235.0,35843067.0
SAO JOSE DO RIO PRETO,2015,108808140.0,218651355.0,152236659.0
SAO JOSE DO RIO PRETO,2016,112659439.0,189288990.0,126878560.0
SAO JOSE DO RIO PRETO,2017,108310956.0,187268943.0,144721026.0
SAO JOSE DO RIO PRETO,2018,87467648.0,197288598.0,189487597.0
SAO JOSE DO RIO PRETO,2019,83611000.0,208259777.0,216613782.0
SAO JOSE DO RIO PRETO,2020,77487000.0,208356560.0,180470990.0
SAO JOSE DO RIO PRETO,2021,102383800.0,218042600.0,151334259.0
SAO JOSE DO RIO PRETO,2022,112920000.0,206443443.0,179513460.0
SAO JOSE DOS CAMPOS,2015,195146429.0,175353818.0,146205466.0
SAO JOSE DOS CAMPOS,2016,214187802.0,152073499.0,118640750.0
SAO JOSE DOS CAMPOS,2017,224564631.0,144641196.0,104996233.0
SAO JOSE DOS CAMPOS,2018,177651183.0,147787474.0,155252490.0
SAO JOSE DOS CAMPOS,2019,163228252.0,141737509.0,185511550.0
SAO JOSE DOS CAMPOS,2020,146806189.0,120340063.0,158419881.0
SAO JOSE DOS CAMPOS,2021,181165065.0,129399170.0,118534185.0
SAO JOSE DOS CAMPOS,2022,207735255.0,138074408.0,101181707.0
SAO PAULO,2015,2657535446.0,1733918634.0,2140808909.0
SAO PAULO,2016,2780728399.0,1745793725.0,1812721042.0
SAO PAULO,2017,2895687447.0,1771346669.0,1639587389.0
SAO PAULO,2018,2259078256.0,1794023760.0,2202318175.0
SAO PAULO,2019,2096762117.0,1812110191.0,2669631569.0
SAO PAULO,2020,1744272042.0,1577056351.0,2148880355.0
SAO PAULO,2021,2144632938.0,1539745378.0,1807763304.0
SAO PAULO,2022,2445980521.0,1572421812.0,1620090372.0
SAO SEBASTIAO,2015,21559156.0,10437475.0,10430632.0
SAO SEBASTIAO,2016,21149380.0,12417801.0,7893800.0
SAO SEBASTIAO,2017,20620023.0,13031038.0,7304599.0
SAO SEBASTIAO,2018,18611012.0,14183838.0,10856705.0
SAO SEBASTIAO,2019,17038511.0,12434169.0,12509250.0
SAO SEBASTIAO,2020,17323000.0,8759711.0,11897000.0
SAO SEBASTIAO,2021,22091500.0,10367460.0,10711000.0
SAO SEBASTIAO,2022,24555935.0,18207740.0,9924000.0
SOROCABA,2015,160727536.0,85073756.0,241324618.0
SOROCABA,2016,182522479.0,84351923.0,178646383.0
SOROCABA,2017,195142092.0,80186522.0,151337588.0
SOROCABA,2018,152542193.0,79336189.0,213288311.0
SOROCABA,2019,144280482.0,82521464.0,252162676.0
SOROCABA,2020,135682101.0,75259500.0,214250794.0
SOROCABA,2021,171303947.0,80497870.0,182265404.0
SOROCABA,2022,196651910.0,86850700.0,177284639.0
TABOAO DA SERRA,2015,52920622.0,12937023.0,45875261.0
TABOAO DA SERRA,2016,51625349.0,11249000.0,35041006.0
TABOAO DA SERRA,2017,57234622.0,11401997.0,31994139.0
TABOAO DA SERRA,2018,47275458.0,10651167.0,42538456.0
TABOAO DA SERRA,2019,45680050.0,12001250.0,53261272.0
TABOAO DA SERRA,2020,42308000.0,12647000.0,53339493.0
TABOAO DA SERRA,2021,49836555.0,12395500.0,43469323.0
TABOAO DA SERRA,2022,51573500.0,15038000.0,36413971.0
TATUI,2015,24579500.0,39612800.0,24714514.0
TATUI,2016,25659400.0,39592500.0,19400600.0
TATUI,2017,26964057.0,33426358.0,20750817.0
TATUI,2018,21961677.0,36598823.0,23662453.0
TATUI,2019,22470510.0,37349682.0,36107316.0
TATUI,2020,21572340.0,34844110.0,29695590.0
TATUI,2021,25316600.0,35915700.0,34487011.0
TATUI,2022,27947400.0,35618700.0,24335775.0
TAUBATE,2015,92072025.0,34458574.0,74617000.0
TAUBATE,2016,99779290.0,34182461.0,57143000.0
TAUBATE,2017,106985676.0,32276948.0,51081237.0
TAUBATE,2018,85000773.0,31719987.0,73361656.0
TAUBATE,2019,78963124.0,31576802.0,89329966.0
TAUBATE,2020,72384500.0,26999000.0,73141000.0
TAUBATE,2021,90706150.0,29957500.0,55800733.0
TAUBATE,2022,105964500.0,31992000.0,48987500.0
